iso639_3,iso639_1,iso639_2t,iso639_2b,name_en,name_native,family,scope,type
afr,af,afr,afr,Afrikaans,Afrikaans,Indo-European,I,L
afs,,,,Afro-Seminole Creole,,,I,L
aft,,,,Afitti,,,I,L
afu,,,,Awutu,,,I,L
afz,,,,Obokuitai,,,I,L
aga,,,,Aguano,,,I,E
agb,,,,Legbo,,,I,L
agc,,,,Agatu,,,I,L
agd,,,,Agarabi,,,I,L
age,,,,Angal,,,I,L
agf,,,,Arguni,,,I,L
agg,,,,Angor,,,I,L
agh,,,,Ngelima,,,I,L
agi,,,,Agariya,,,I,L
agj,,,,Argobba,,,I,L
agk,,,,Isarog Agta,,,I,L
agl,,,,Fembe,,,I,L
agm,,,,Angaataha,,,I,L
agn,,,,Agutaynen,,,I,L
ago,,,,Tainae,,,I,L
agq,,,,Aghem,,,I,L
agr,,,,Aguaruna,,,I,L
ags,,,,Esimbi,,,I,L
agt,,,,Central Cagayan Agta,,,I,L
agu,,,,Aguacateco,,,I,L
agv,,,,Remontado Dumagat,,,I,L
agw,,,,Kahua,,,I,L
agx,,,,Aghul,,,I,L
agy,,,,Southern Alta,,,I,L
agz,,,,Mt. Iriga Agta,,,I,L
aha,,,,Ahanta,,,I,L
ahb,,,,Axamb,,,I,L
ahg,,,,Qimant,,,I,L
ahh,,,,Aghu,,,I,L
ahi,,,,Tiagbamrin Aizi,,,I,L
ahk,,,,Akha,,,I,L
ahl,,,,Igo,,,I,L
ahm,,,,Mobumrin Aizi,,,I,L
ahn,,,,Àhàn,,,I,L
aho,,,,Ahom,,,I,E
ahp,,,,Aproumu Aizi,,,I,L
ahr,,,,Ahirani,,,I,L
ahs,,,,Ashe,,,I,L
aht,,,,Ahtena,,,I,L
aia,,,,Arosi,,,I,L
aib,,,,Ainu (China),,,I,L
aic,,,,Ainbai,,,I,L
aid,,,,Alngith,,,I,E
aie,,,,Amara,,,I,L
aif,,,,Agi,,,I,L
aig,,,,Antigua and Barbuda Creole English,,,I,L
aih,,,,Ai-Cham,,,I,L
aii,,,,Assyrian Neo-Aramaic,,,I,L
aij,,,,Lishanid Noshan,,,I,L
aik,,,,Ake,,,I,L
ail,,,,Aimele,,,I,L
aim,,,,Aimol,,,I,L
ain,,ain,ain,Ainu (Japan),,,I,L
aio,,,,Aiton,,,I,L
aip,,,,Burumakok,,,I,L
aiq,,,,Aimaq,,,I,L
air,,,,Airoran,,,I,L
ait,,,,Arikem,,,I,E
aiw,,,,Aari,,,I,L
aix,,,,Aighon,,,I,L
aiy,,,,Ali,,,I,L
aja,,,,Aja (South Sudan),,,I,L
ajg,,,,Aja (Benin),,,I,L
aji,,,,Ajië,,,I,L
ajn,,,,Andajin,,,I,L
ajs,,,,Algerian Jewish Sign Language,,,I,L
aju,,,,Judeo-Moroccan Arabic,,,I,L
ajw,,,,Ajawa,,,I,E
ajz,,,,Amri Karbi,,,I,L
aka,ak,aka,aka,Akan,Akan,Niger–Congo,M,L
akb,,,,Batak Angkola,,,I,L
akc,,,,Mpur,,,I,L
akd,,,,Ukpet-Ehom,,,I,L
ake,,,,Akawaio,,,I,L
akf,,,,Akpa,,,I,L
akg,,,,Anakalangu,,,I,L
akh,,,,Angal Heneng,,,I,L
aki,,,,Aiome,,,I,L
akj,,,,Aka-Jeru,,,I,E
akk,,akk,akk,Akkadian,,,I,H
akl,,,,Aklanon,,,I,L
akm,,,,Aka-Bo,,,I,E
ako,,,,Akurio,,,I,L
akp,,,,Siwu,,,I,L
akq,,,,Ak,,,I,L
akr,,,,Araki,,,I,L
aks,,,,Akaselem,,,I,L
akt,,,,Akolet,,,I,L
aku,,,,Akum,,,I,L
akv,,,,Akhvakh,,,I,L
akw,,,,Akwa,,,I,L
akx,,,,Aka-Kede,,,I,E
aky,,,,Aka-Kol,,,I,E
akz,,,,Alabama,,,I,L
ala,,,,Alago,,,I,L
alc,,,,Qawasqar,,,I,L
ald,,,,Alladian,,,I,L
ale,,ale,ale,Aleut,,,I,L
alf,,,,Alege,,,I,L
alh,,,,Alawa,,,I,L
ali,,,,Amaimon,,,I,L
alj,,,,Alangan,,,I,L
alk,,,,Alak,,,I,L
all,,,,Allar,,,I,L
alm,,,,Amblong,,,I,L
aln,,,,Gheg Albanian,,,I,L
alo,,,,Larike-Wakasihu,,,I,L
alp,,,,Alune,,,I,L
alq,,,,Algonquin,,,I,L
alr,,,,Alutor,,,I,L
als,,,,Tosk Albanian,,,I,L
alt,,alt,alt,Southern Altai,,,I,L
alu,,,,'Are'are,,,I,L
alw,,,,Alaba-K’abeena,,,I,L
alx,,,,Amol,,,I,L
aly,,,,Alyawarr,,,I,L
alz,,,,Alur,,,I,L
ama,,,,Amanayé,,,I,E
amb,,,,Ambo,,,I,L
amc,,,,Amahuaca,,,I,L
ame,,,,Yanesha',,,I,L
amf,,,,Hamer-Banna,,,I,L
amg,,,,Amurdak,,,I,L
amh,am,amh,amh,Amharic,አማርኛ,Afro-Asiatic,I,L
ami,,,,Amis,,,I,L
amj,,,,Amdang,,,I,L
amk,,,,Ambai,,,I,L
aml,,,,War-Jaintia,,,I,L
amm,,,,Ama (Papua New Guinea),,,I,L
amn,,,,Amanab,,,I,L
amo,,,,Amo,,,I,L
amp,,,,Alamblak,,,I,L
amq,,,,Amahai,,,I,L
amr,,,,Amarakaeri,,,I,L
ams,,,,Southern Amami-Oshima,,,I,L
amt,,,,Amto,,,I,L
amu,,,,Guerrero Amuzgo,,,I,L
amv,,,,Ambelau,,,I,L
amw,,,,Western Neo-Aramaic,,,I,L
amx,,,,Anmatyerre,,,I,L
amy,,,,Ami,,,I,L
amz,,,,Atampaya,,,I,E
ana,,,,Andaqui,,,I,E
anb,,,,Andoa,,,I,E
anc,,,,Ngas,,,I,L
and,,,,Ansus,,,I,L
ane,,,,Xârâcùù,,,I,L
anf,,,,Animere,,,I,L
ang,,ang,ang,Old English (ca. 450-1100),,,I,H
anh,,,,Nend,,,I,L
ani,,,,Andi,,,I,L
anj,,,,Anor,,,I,L
ank,,,,Goemai,,,I,L
anl,,,,Anu-Hkongso Chin,,,I,L
anm,,,,Anal,,,I,L
ann,,,,Obolo,,,I,L
ano,,,,Andoque,,,I,L
anp,,anp,anp,Angika,,,I,L
anq,,,,Jarawa (India),,,I,L
anr,,,,Andh,,,I,L
ans,,,,Anserma,,,I,E
ant,,,,Antakarinya,,,I,L
anu,,,,Anuak,,,I,L
anv,,,,Denya,,,I,L
anw,,,,Anaang,,,I,L
anx,,,,Andra-Hus,,,I,L
any,,,,Anyin,,,I,L
anz,,,,Anem,,,I,L
aoa,,,,Angolar,,,I,L
aob,,,,Abom,,,I,L
aoc,,,,Pemon,,,I,L
aod,,,,Andarum,,,I,L
aoe,,,,Angal Enen,,,I,L
aof,,,,Bragat,,,I,L
aog,,,,Angoram,,,I,L
aoi,,,,Anindilyakwa,,,I,L
aoj,,,,Mufian,,,I,L
aok,,,,Arhö,,,I,L
aol,,,,Alor,,,I,L
aom,,,,Ömie,,,I,L
aon,,,,Bumbita Arapesh,,,I,L
aor,,,,Aore,,,I,E
aos,,,,Taikat,,,I,L
aot,,,,Atong (India),,,I,L
aou,,,,A'ou,,,I,L
aox,,,,Atorada,,,I,L
aoz,,,,Uab Meto,,,I,L
apb,,,,Sa'a,,,I,L
apc,,,,Levantine Arabic,,,I,L
apd,,,,Sudanese Arabic,,,I,L
ape,,,,Bukiyip,,,I,L
apf,,,,Pahanan Agta,,,I,L
apg,,,,Ampanang,,,I,L
aph,,,,Athpariya,,,I,L
api,,,,Apiaká,,,I,L
apj,,,,Jicarilla Apache,,,I,L
apk,,,,Kiowa Apache,,,I,L
apl,,,,Lipan Apache,,,I,L
apm,,,,Mescalero-Chiricahua Apache,,,I,L
apn,,,,Apinayé,,,I,L
apo,,,,Ambul,,,I,L
app,,,,Apma,,,I,L
apq,,,,A-Pucikwar,,,I,L
apr,,,,Arop-Lokep,,,I,L
aps,,,,Arop-Sissano,,,I,L
apt,,,,Apatani,,,I,L
apu,,,,Apurinã,,,I,L
apv,,,,Alapmunte,,,I,E
apw,,,,Western Apache,,,I,L
apx,,,,Aputai,,,I,L
apy,,,,Apalaí,,,I,L
apz,,,,Safeyoka,,,I,L
aqc,,,,Archi,,,I,L
aqd,,,,Ampari Dogon,,,I,L
aqg,,,,Arigidi,,,I,L
aqk,,,,Aninka,,,I,L
aqm,,,,Atohwaim,,,I,L
aqn,,,,Northern Alta,,,I,L
aqp,,,,Atakapa,,,I,E
aqr,,,,Arhâ,,,I,L
aqt,,,,Angaité,,,I,L
aqz,,,,Akuntsu,,,I,L
ara,ar,ara,ara,Arabic,العربية,Afro-Asiatic,M,L
arb,,,,Standard Arabic,,,I,L
arc,,arc,arc,Official Aramaic (700-300 BCE),,,I,H
ard,,,,Arabana,,,I,E
are,,,,Western Arrarnta,,,I,L
arg,an,arg,arg,Aragonese,aragonés,Indo-European,I,L
arh,,,,Arhuaco,,,I,L
ari,,,,Arikara,,,I,L
arj,,,,Arapaso,,,I,E
ark,,,,Arikapú,,,I,L
arl,,,,Arabela,,,I,L
arn,,arn,arn,Mapudungun,,,I,L
aro,,,,Araona,,,I,L
arp,,arp,arp,Arapaho,,,I,L
arq,,,,Algerian Arabic,,,I,L
arr,,,,Karo (Brazil),,,I,L
ars,,,,Najdi Arabic,,,I,L
aru,,,,Aruá (Amazonas State),,,I,E
arv,,,,Arbore,,,I,L
arw,,arw,arw,Arawak,,,I,L
arx,,,,Aruá (Rodonia State),,,I,L
ary,,,,Moroccan Arabic,,,I,L
arz,,,,Egyptian Arabic,,,I,L
asa,,,,Asu (Tanzania),,,I,L
asb,,,,Assiniboine,,,I,L
asc,,,,Casuarina Coast Asmat,,,I,L
ase,,,,American Sign Language,,,I,L
asf,,,,Auslan,,,I,L
asg,,,,Cishingini,,,I,L
ash,,,,Abishira,,,I,E
asi,,,,Buruwai,,,I,L
asj,,,,Sari,,,I,L
ask,,,,Ashkun,,,I,L
asl,,,,Asilulu,,,I,L
asm,as,asm,asm,Assamese,অসমীয়া,Indo-European,I,L
asn,,,,Xingú Asuriní,,,I,L
aso,,,,Dano,,,I,L
asp,,,,Algerian Sign Language,,,I,L
asq,,,,Austrian Sign Language,,,I,L
asr,,,,Asuri,,,I,L
ass,,,,Ipulo,,,I,L
ast,,ast,ast,Asturian,,,I,L
asu,,,,Tocantins Asurini,,,I,L
asv,,,,Asoa,,,I,L
asw,,,,Australian Aborigines Sign Language,,,I,L
asx,,,,Muratayak,,,I,L
asy,,,,Yaosakor Asmat,,,I,L
asz,,,,As,,,I,L
ata,,,,Pele-Ata,,,I,L
atb,,,,Zaiwa,,,I,L
atc,,,,Atsahuaca,,,I,E
atd,,,,Ata Manobo,,,I,L
ate,,,,Atemble,,,I,L
atg,,,,Ivbie North-Okpela-Arhe,,,I,L
ati,,,,Attié,,,I,L
atj,,,,Atikamekw,,,I,L
atk,,,,Ati,,,I,L
atl,,,,Mt. Iraya Agta,,,I,L
atm,,,,Ata,,,I,L
atn,,,,Ashtiani,,,I,L
ato,,,,Atong (Cameroon),,,I,L
atp,,,,Pudtol Atta,,,I,L
atq,,,,Aralle-Tabulahan,,,I,L
atr,,,,Waimiri-Atroari,,,I,L
ats,,,,Gros Ventre,,,I,L
att,,,,Pamplona Atta,,,I,L
atu,,,,Reel,,,I,L
atv,,,,Northern Altai,,,I,L
atw,,,,Atsugewi,,,I,L
atx,,,,Arutani,,,I,L
aty,,,,Aneityum,,,I,L
atz,,,,Arta,,,I,L
aua,,,,Asumboa,,,I,L
aub,,,,Alugu,,,I,L
auc,,,,Waorani,,,I,L
aud,,,,Anuta,,,I,L
aug,,,,Aguna,,,I,L
auh,,,,Aushi,,,I,L
aui,,,,Anuki,,,I,L
auj,,,,Awjilah,,,I,L
auk,,,,Heyo,,,I,L
aul,,,,Aulua,,,I,L
aum,,,,Asu (Nigeria),,,I,L
aun,,,,Molmo One,,,I,L
auo,,,,Auyokawa,,,I,E
aup,,,,Makayam,,,I,L
auq,,,,Anus,,,I,L
aur,,,,Aruek,,,I,L
aut,,,,Austral,,,I,L
auu,,,,Auye,,,I,L
auw,,,,Awyi,,,I,L
aux,,,,Aurá,,,I,E
auy,,,,Awiyaana,,,I,L
auz,,,,Uzbeki Arabic,,,I,L
ava,av,ava,ava,Avaric,"авар мацӀ, магӀарул мацӀ",Northeast Caucasian,I,L
avb,,,,Avau,,,I,L
avd,,,,Alviri-Vidari,,,I,L
ave,ae,ave,ave,Avestan,avesta,Indo-European,I,H
avi,,,,Avikam,,,I,L
avk,,,,Kotava,,,I,C
avl,,,,Eastern Egyptian Bedawi Arabic,,,I,L
avm,,,,Angkamuthi,,,I,E
avn,,,,Avatime,,,I,L
avo,,,,Agavotaguerra,,,I,E
avs,,,,Aushiri,,,I,E
avt,,,,Au,,,I,L
avu,,,,Avokaya,,,I,L
avv,,,,Avá-Canoeiro,,,I,L
awa,,awa,awa,Awadhi,,,I,L
awb,,,,Awa (Papua New Guinea),,,I,L
awc,,,,Cicipu,,,I,L
awe,,,,Awetí,,,I,L
awg,,,,Anguthimri,,,I,E
awh,,,,Awbono,,,I,L
awi,,,,Aekyom,,,I,L
awk,,,,Awabakal,,,I,E
awm,,,,Arawum,,,I,L
awn,,,,Awngi,,,I,L
awo,,,,Awak,,,I,L
awr,,,,Awera,,,I,L
aws,,,,South Awyu,,,I,L
awt,,,,Araweté,,,I,L
awu,,,,Central Awyu,,,I,L
awv,,,,Jair Awyu,,,I,L
aww,,,,Awun,,,I,L
awx,,,,Awara,,,I,L
awy,,,,Edera Awyu,,,I,L
axb,,,,Abipon,,,I,E
axe,,,,Ayerrerenge,,,I,E
axg,,,,Mato Grosso Arára,,,I,E
axk,,,,Yaka (Central African Republic),,,I,L
axl,,,,Lower Southern Aranda,,,I,E
axm,,,,Middle Armenian,,,I,H
axx,,,,Xârâgurè,,,I,L
aya,,,,Awar,,,I,L
ayb,,,,Ayizo Gbe,,,I,L
ayc,,,,Southern Aymara,,,I,L
ayd,,,,Ayabadhu,,,I,E
aye,,,,Ayere,,,I,L
ayg,,,,Ginyanga,,,I,L
ayh,,,,Hadrami Arabic,,,I,L
ayi,,,,Leyigha,,,I,L
ayk,,,,Akuku,,,I,L
ayl,,,,Libyan Arabic,,,I,L
aym,ay,aym,aym,Aymara,aymar aru,Aymaran,M,L
ayn,,,,Sanaani Arabic,,,I,L
ayo,,,,Ayoreo,,,I,L
ayp,,,,North Mesopotamian Arabic,,,I,L
ayq,,,,Ayi (Papua New Guinea),,,I,L
ayr,,,,Central Aymara,,,I,L
ays,,,,Sorsogon Ayta,,,I,L
ayt,,,,Magbukun Ayta,,,I,L
ayu,,,,Ayu,,,I,L
ayz,,,,Mai Brat,,,I,L
aza,,,,Azha,,,I,L
azb,,,,South Azerbaijani,,,I,L
azd,,,,Eastern Durango Nahuatl,,,I,L
aze,az,aze,aze,Azerbaijani,azərbaycan dili,Turkic,M,L
azg,,,,San Pedro Amuzgos Amuzgo,,,I,L
azj,,,,North Azerbaijani,,,I,L
azm,,,,Ipalapa Amuzgo,,,I,L
azn,,,,Western Durango Nahuatl,,,I,L
azo,,,,Awing,,,I,L
azt,,,,Faire Atta,,,I,L
azz,,,,Highland Puebla Nahuatl,,,I,L
baa,,,,Babatana,,,I,L
bab,,,,Bainouk-Gunyuño,,,I,L
bac,,,,Badui,,,I,L
bae,,,,Baré,,,I,E
baf,,,,Nubaca,,,I,L
bag,,,,Tuki,,,I,L
bah,,,,Bahamas Creole English,,,I,L
baj,,,,Barakai,,,I,L
bak,ba,bak,bak,Bashkir,башҡорт теле,Turkic,I,L
bal,,bal,bal,Baluchi,,,M,L
bam,bm,bam,bam,Bambara,bamanankan,Niger–Congo,I,L
ban,,ban,ban,Balinese,,,I,L
bao,,,,Waimaha,,,I,L
bap,,,,Bantawa,,,I,L
bar,,,,Bavarian,,,I,L
bas,,bas,bas,Basa (Cameroon),,,I,L
bau,,,,Bada (Nigeria),,,I,L
bav,,,,Vengo,,,I,L
baw,,,,Bambili-Bambui,,,I,L
bax,,,,Bamun,,,I,L
bay,,,,Batuley,,,I,L
bba,,,,Baatonum,,,I,L
bbb,,,,Barai,,,I,L
bbc,,,,Batak Toba,,,I,L
bbd,,,,Bau,,,I,L
bbe,,,,Bangba,,,I,L
bbf,,,,Baibai,,,I,L
bbg,,,,Barama,,,I,L
bbh,,,,Bugan,,,I,L
bbi,,,,Barombi,,,I,L
bbj,,,,Ghomálá',,,I,L
bbk,,,,Babanki,,,I,L
bbl,,,,Bats,,,I,L
bbm,,,,Babango,,,I,L
bbn,,,,Uneapa,,,I,L
bbo,,,,Northern Bobo Madaré,,,I,L
bbp,,,,West Central Banda,,,I,L
bbq,,,,Bamali,,,I,L
bbr,,,,Girawa,,,I,L
bbs,,,,Bakpinka,,,I,L
bbt,,,,Mburku,,,I,L
bbu,,,,Kulung (Nigeria),,,I,L
bbv,,,,Karnai,,,I,L
bbw,,,,Baba,,,I,L
bbx,,,,Bubia,,,I,L
bby,,,,Befang,,,I,L
bca,,,,Central Bai,,,I,L
bcb,,,,Bainouk-Samik,,,I,L
bcc,,,,Southern Balochi,,,I,L
bcd,,,,North Babar,,,I,L
bce,,,,Bamenyam,,,I,L
bcf,,,,Bamu,,,I,L
bcg,,,,Baga Pokur,,,I,L
bch,,,,Bariai,,,I,L
bci,,,,Baoulé,,,I,L
bcj,,,,Bardi,,,I,L
bck,,,,Bunuba,,,I,L
bcl,,,,Central Bikol,,,I,L
bcm,,,,Bannoni,,,I,L
bcn,,,,Bali (Nigeria),,,I,L
bco,,,,Kaluli,,,I,L
bcp,,,,Bali (Democratic Republic of Congo),,,I,L
bcq,,,,Bench,,,I,L
bcr,,,,Babine,,,I,L
bcs,,,,Kohumono,,,I,L
bct,,,,Bendi,,,I,L
bcu,,,,Awad Bing,,,I,L
bcv,,,,Shoo-Minda-Nye,,,I,L
bcw,,,,Bana,,,I,L
bcy,,,,Bacama,,,I,L
bcz,,,,Bainouk-Gunyaamolo,,,I,L
bda,,,,Bayot,,,I,L
bdb,,,,Basap,,,I,L
bdc,,,,Emberá-Baudó,,,I,L
bdd,,,,Bunama,,,I,L
bde,,,,Bade,,,I,L
bdf,,,,Biage,,,I,L
bdg,,,,Bonggi,,,I,L
bdh,,,,Baka (South Sudan),,,I,L
bdi,,,,Burun,,,I,L
bdj,,,,Bai (South Sudan),,,I,L
bdk,,,,Budukh,,,I,L
bdl,,,,Indonesian Bajau,,,I,L
bdm,,,,Buduma,,,I,L
bdn,,,,Baldemu,,,I,L
bdo,,,,Morom,,,I,L
bdp,,,,Bende,,,I,L
bdq,,,,Bahnar,,,I,L
bdr,,,,West Coast Bajau,,,I,L
bds,,,,Burunge,,,I,L
bdt,,,,Bokoto,,,I,L
bdu,,,,Oroko,,,I,L
bdv,,,,Bodo Parja,,,I,L
bdw,,,,Baham,,,I,L
bdx,,,,Budong-Budong,,,I,L
bdy,,,,Bandjalang,,,I,L
bdz,,,,Badeshi,,,I,L
bea,,,,Beaver,,,I,L
beb,,,,Bebele,,,I,L
bec,,,,Iceve-Maci,,,I,L
bed,,,,Bedoanas,,,I,L
bee,,,,Byangsi,,,I,L
bef,,,,Benabena,,,I,L
beg,,,,Belait,,,I,L
beh,,,,Biali,,,I,L
bei,,,,Bekati',,,I,L
bej,,bej,bej,Beja,,,I,L
bek,,,,Bebeli,,,I,L
bel,be,bel,bel,Belarusian,беларуская мова,Indo-European,I,L
bem,,bem,bem,Bemba (Zambia),,,I,L
ben,bn,ben,ben,Bengali,বাংলা,Indo-European,I,L
beo,,,,Beami,,,I,L
bep,,,,Besoa,,,I,L
beq,,,,Beembe,,,I,L
bes,,,,Besme,,,I,L
bet,,,,Guiberoua Béte,,,I,L
beu,,,,Blagar,,,I,L
bev,,,,Daloa Bété,,,I,L
bew,,,,Betawi,,,I,L
bex,,,,Jur Modo,,,I,L
bey,,,,Beli (Papua New Guinea),,,I,L
bez,,,,Bena (Tanzania),,,I,L
bfa,,,,Bari,,,I,L
bfb,,,,Pauri Bareli,,,I,L
bfc,,,,Panyi Bai,,,I,L
bfd,,,,Bafut,,,I,L
bfe,,,,Betaf,,,I,L
bff,,,,Bofi,,,I,L
bfg,,,,Busang Kayan,,,I,L
bfh,,,,Blafe,,,I,L
bfi,,,,British Sign Language,,,I,L
bfj,,,,Bafanji,,,I,L
bfk,,,,Ban Khor Sign Language,,,I,L
bfl,,,,Banda-Ndélé,,,I,L
bfm,,,,Mmen,,,I,L
bfn,,,,Bunak,,,I,L
bfo,,,,Malba Birifor,,,I,L
bfp,,,,Beba,,,I,L
bfq,,,,Badaga,,,I,L
bfr,,,,Bazigar,,,I,L
bfs,,,,Southern Bai,,,I,L
bft,,,,Balti,,,I,L
bfu,,,,Gahri,,,I,L
bfw,,,,Bondo,,,I,L
bfx,,,,Bantayanon,,,I,L
bfy,,,,Bagheli,,,I,L
bfz,,,,Mahasu Pahari,,,I,L
bga,,,,Gwamhi-Wuri,,,I,L
bgb,,,,Bobongko,,,I,L
bgc,,,,Haryanvi,,,I,L
bgd,,,,Rathwi Bareli,,,I,L
bge,,,,Bauria,,,I,L
bgf,,,,Bangandu,,,I,L
bgg,,,,Bugun,,,I,L
bgi,,,,Giangan,,,I,L
bgj,,,,Bangolan,,,I,L
bgk,,,,Bit,,,I,L
bgl,,,,Bo (Laos),,,I,L
bgn,,,,Western Balochi,,,I,L
bgo,,,,Baga Koga,,,I,L
bgp,,,,Eastern Balochi,,,I,L
bgq,,,,Bagri,,,I,L
bgr,,,,Bawm Chin,,,I,L
bgs,,,,Tagabawa,,,I,L
bgt,,,,Bughotu,,,I,L
bgu,,,,Mbongno,,,I,L
bgv,,,,Warkay-Bipim,,,I,L
bgw,,,,Bhatri,,,I,L
bgx,,,,Balkan Gagauz Turkish,,,I,L
bgy,,,,Benggoi,,,I,L
bgz,,,,Banggai,,,I,L
bha,,,,Bharia,,,I,L
bhb,,,,Bhili,,,I,L
bhc,,,,Biga,,,I,L
bhd,,,,Bhadrawahi,,,I,L
bhe,,,,Bhaya,,,I,L
bhf,,,,Odiai,,,I,L
bhg,,,,Binandere,,,I,L
bhh,,,,Bukharic,,,I,L
bhi,,,,Bhilali,,,I,L
bhj,,,,Bahing,,,I,L
bhl,,,,Bimin,,,I,L
bhm,,,,Bathari,,,I,L
bhn,,,,Bohtan Neo-Aramaic,,,I,L
bho,,bho,bho,Bhojpuri,,,I,L
bhp,,,,Bima,,,I,L
bhq,,,,Tukang Besi South,,,I,L
bhr,,,,Bara Malagasy,,,I,L
bhs,,,,Buwal,,,I,L
bht,,,,Bhattiyali,,,I,L
bhu,,,,Bhunjia,,,I,L
bhv,,,,Bahau,,,I,L
bhw,,,,Biak,,,I,L
bhx,,,,Bhalay,,,I,L
bhy,,,,Bhele,,,I,L
bhz,,,,Bada (Indonesia),,,I,L
bia,,,,Badimaya,,,I,L
bib,,,,Bissa,,,I,L
bid,,,,Bidiyo,,,I,L
bie,,,,Bepour,,,I,L
bif,,,,Biafada,,,I,L
big,,,,Biangai,,,I,L
bik,,bik,bik,Bikol,,,M,L
bil,,,,Bile,,,I,L
